"IncNodePurity","feature"
68294.1282118954,"age"
39188.3913529159,"lbdscrsi"
37743.334747251,"lbxscr"
35879.2760367558,"scr"
8290.91112534521,"female"
8061.08615713081,"k"
5570.68499061083,"lbxsbu"
4870.02414696562,"lbdsbusi"
2440.93889383704,"lbxsua"
2433.69785712051,"acr"
1826.58505459928,"lbxvidms"
1640.83125895225,"bpxdi1"
1582.03600719156,"lbxsch"
1494.46234993735,"urxucr"
1417.96743055659,"race"
1360.41602454247,"bpxdi2"
1175.79457902416,"dmdhhsiz"
1079.40880833654,"lbxsc3si"
945.550107243726,"lbdscasi"
918.047454764481,"lbxsck"
622.786409553805,"ridreth1"
558.068474584778,"bpacsz"
170.55117880734,"dmdcitzn"
159.680776348122,"mortstat"
